Date,Open,High,Low,Close,Adj Close,Volume
2017-05-08,3.500000,3.500000,3.500000,3.500000,3.500000,100
2017-05-09,3.500000,3.500000,3.500000,3.500000,3.500000,1
2017-05-10,3.500000,3.500000,3.500000,3.500000,3.500000,0
2017-05-11,3.500000,3.500000,3.500000,3.500000,3.500000,0
2017-05-12,3.500000,3.500000,3.500000,3.500000,3.500000,0
2017-05-15,3.500000,3.500000,3.500000,3.500000,3.500000,0
2017-05-16,3.500000,3.500000,3.500000,3.500000,3.500000,0
2017-05-17,3.500000,3.500000,3.500000,3.500000,3.500000,0
2017-05-18,3.500000,3.500000,3.500000,3.500000,3.500000,0
2017-05-19,3.500000,3.500000,3.500000,3.500000,3.500000,0
2017-05-22,3.500000,3.500000,3.500000,3.500000,3.500000,0
2017-05-23,3.500000,3.500000,3.500000,3.500000,3.500000,0
2017-05-24,3.500000,3.500000,3.500000,3.500000,3.500000,0
2017-05-25,3.500000,3.500000,3.500000,3.500000,3.500000,0
2017-05-26,3.330000,3.330000,3.330000,3.330000,3.330000,453
2017-05-29,3.330000,3.330000,3.330000,3.330000,3.330000,0
2017-05-30,3.330000,3.330000,3.330000,3.330000,3.330000,0
2017-05-31,3.330000,3.330000,3.330000,3.330000,3.330000,0
2017-06-01,3.330000,3.330000,3.330000,3.330000,3.330000,0
2017-06-02,3.330000,3.330000,3.330000,3.330000,3.330000,0
2017-06-05,3.330000,3.330000,3.330000,3.330000,3.330000,0
2017-06-06,3.170000,3.490000,3.170000,3.490000,3.490000,800
2017-06-07,3.490000,3.490000,3.490000,3.490000,3.490000,0
2017-06-08,3.320000,3.650000,3.320000,3.650000,3.650000,310
2017-06-09,3.650000,3.650000,3.650000,3.650000,3.650000,0
2017-06-12,3.650000,3.650000,3.650000,3.650000,3.650000,0
2017-06-13,3.820000,3.820000,3.820000,3.820000,3.820000,40
2017-06-14,3.630000,3.630000,3.630000,3.630000,3.630000,300
2017-06-15,3.630000,3.630000,3.630000,3.630000,3.630000,0
2017-06-16,3.630000,3.630000,3.630000,3.630000,3.630000,0
2017-06-19,3.630000,3.630000,3.630000,3.630000,3.630000,0
2017-06-20,3.630000,3.630000,3.630000,3.630000,3.630000,0
2017-06-21,3.630000,3.630000,3.630000,3.630000,3.630000,0
2017-06-22,3.630000,3.630000,3.630000,3.630000,3.630000,0
2017-06-23,3.630000,3.630000,3.630000,3.630000,3.630000,0
2017-06-27,3.630000,3.630000,3.630000,3.630000,3.630000,0
2017-06-28,3.630000,3.630000,3.630000,3.630000,3.630000,0
2017-06-29,3.630000,3.630000,3.630000,3.630000,3.630000,0
2017-06-30,3.630000,3.630000,3.630000,3.630000,3.630000,0
2017-07-03,3.810000,3.810000,3.810000,3.810000,3.810000,120
2017-07-04,3.810000,3.810000,3.810000,3.810000,3.810000,0
2017-07-05,3.810000,3.810000,3.810000,3.810000,3.810000,0
2017-07-06,3.810000,3.810000,3.810000,3.810000,3.810000,0
2017-07-07,3.810000,3.810000,3.810000,3.810000,3.810000,0
2017-07-10,3.810000,3.810000,3.810000,3.810000,3.810000,0
2017-07-11,3.900000,3.900000,3.900000,3.900000,3.900000,499
2017-07-12,3.900000,3.900000,3.900000,3.900000,3.900000,0
2017-07-13,3.900000,3.900000,3.900000,3.900000,3.900000,0
2017-07-14,3.900000,3.900000,3.900000,3.900000,3.900000,0
2017-07-17,3.900000,3.900000,3.900000,3.900000,3.900000,0
2017-07-18,3.900000,3.900000,3.900000,3.900000,3.900000,0
2017-07-19,3.900000,3.900000,3.900000,3.900000,3.900000,0
2017-07-20,3.900000,3.900000,3.900000,3.900000,3.900000,0
2017-07-21,3.900000,3.900000,3.900000,3.900000,3.900000,0
2017-07-24,3.900000,3.900000,3.900000,3.900000,3.900000,0
2017-07-25,3.900000,3.900000,3.900000,3.900000,3.900000,0
2017-07-26,3.900000,3.900000,3.900000,3.900000,3.900000,0
2017-07-27,3.900000,3.900000,3.900000,3.900000,3.900000,0
2017-07-28,3.900000,3.900000,3.900000,3.900000,3.900000,0
2017-07-31,3.900000,3.900000,3.900000,3.900000,3.900000,0
2017-08-01,3.900000,3.900000,3.900000,3.900000,3.900000,0
2017-08-02,3.900000,3.900000,3.900000,3.900000,3.900000,0
2017-08-03,3.900000,3.900000,3.900000,3.900000,3.900000,0
2017-08-04,3.900000,3.900000,3.900000,3.900000,3.900000,0
2017-08-07,3.900000,3.900000,3.900000,3.900000,3.900000,0
2017-08-08,3.900000,3.900000,3.900000,3.900000,3.900000,0
2017-08-09,3.900000,3.900000,3.900000,3.900000,3.900000,0
2017-08-10,3.900000,3.900000,3.900000,3.900000,3.900000,0
2017-08-11,3.900000,3.900000,3.900000,3.900000,3.900000,0
2017-08-14,3.900000,3.900000,3.900000,3.900000,3.900000,0
2017-08-16,3.900000,3.900000,3.900000,3.900000,3.900000,0
2017-08-17,3.900000,3.900000,3.900000,3.900000,3.900000,0
2017-08-18,3.900000,3.900000,3.900000,3.900000,3.900000,0
2017-08-21,3.900000,3.900000,3.900000,3.900000,3.900000,0
2017-08-22,3.900000,3.900000,3.900000,3.900000,3.900000,0
2017-08-23,3.900000,3.900000,3.900000,3.900000,3.900000,0
2017-08-24,3.900000,3.900000,3.900000,3.900000,3.900000,0
2017-08-28,3.900000,3.900000,3.900000,3.900000,3.900000,0
2017-08-29,3.900000,3.900000,3.900000,3.900000,3.900000,0
2017-08-30,3.900000,3.900000,3.900000,3.900000,3.900000,0
2017-08-31,3.900000,3.900000,3.900000,3.900000,3.900000,0
2017-09-01,3.900000,3.900000,3.900000,3.900000,3.900000,0
2017-09-04,3.900000,3.900000,3.900000,3.900000,3.900000,0
2017-09-05,3.900000,3.900000,3.900000,3.900000,3.900000,0
2017-09-06,3.900000,3.900000,3.900000,3.900000,3.900000,0
2017-09-07,3.900000,3.900000,3.900000,3.900000,3.900000,0
2017-09-08,3.900000,3.900000,3.900000,3.900000,3.900000,0
2017-09-11,3.900000,3.900000,3.900000,3.900000,3.900000,0
2017-09-12,3.900000,3.900000,3.900000,3.900000,3.900000,0
2017-09-13,3.900000,3.900000,3.900000,3.900000,3.900000,0
2017-09-14,3.900000,3.900000,3.900000,3.900000,3.900000,0
2017-09-15,3.900000,3.900000,3.900000,3.900000,3.900000,0
2017-09-18,3.900000,3.900000,3.900000,3.900000,3.900000,0
2017-09-19,3.900000,3.900000,3.900000,3.900000,3.900000,0
2017-09-20,3.900000,3.900000,3.900000,3.900000,3.900000,0
2017-09-21,3.900000,3.900000,3.900000,3.900000,3.900000,0
2017-09-22,3.900000,3.900000,3.900000,3.900000,3.900000,0
2017-09-25,3.900000,3.900000,3.900000,3.900000,3.900000,0
2017-09-26,3.900000,3.900000,3.900000,3.900000,3.900000,0
2017-09-27,3.900000,3.900000,3.900000,3.900000,3.900000,0
2017-09-28,3.900000,3.900000,3.900000,3.900000,3.900000,0
2017-09-29,3.900000,3.900000,3.710000,3.710000,3.710000,8401
2017-10-03,3.890000,3.890000,3.890000,3.890000,3.890000,1000
2017-10-04,4.080000,4.080000,4.080000,4.080000,4.080000,500
2017-10-05,3.880000,3.880000,3.880000,3.880000,3.880000,2000
2017-10-06,3.690000,3.690000,3.690000,3.690000,3.690000,500
2017-10-09,3.510000,3.510000,3.510000,3.510000,3.510000,505
2017-10-10,3.510000,3.510000,3.510000,3.510000,3.510000,0
2017-10-11,3.510000,3.510000,3.510000,3.510000,3.510000,0
2017-10-12,3.510000,3.510000,3.510000,3.510000,3.510000,0
2017-10-13,3.510000,3.510000,3.510000,3.510000,3.510000,0
2017-10-16,3.510000,3.510000,3.510000,3.510000,3.510000,0
2017-10-17,3.510000,3.510000,3.510000,3.510000,3.510000,0
2017-10-18,3.510000,3.510000,3.510000,3.510000,3.510000,0
2017-10-19,3.510000,3.510000,3.510000,3.510000,3.510000,0
2017-10-23,3.510000,3.510000,3.510000,3.510000,3.510000,0
2017-10-24,3.510000,3.510000,3.510000,3.510000,3.510000,0
2017-10-25,3.510000,3.510000,3.510000,3.510000,3.510000,0
2017-10-26,3.510000,3.510000,3.510000,3.510000,3.510000,0
2017-10-27,3.510000,3.510000,3.510000,3.510000,3.510000,0
2017-10-30,3.510000,3.510000,3.510000,3.510000,3.510000,0
2017-10-31,3.510000,3.510000,3.510000,3.510000,3.510000,0
2017-11-01,3.510000,3.510000,3.510000,3.510000,3.510000,0
2017-11-02,3.510000,3.510000,3.510000,3.510000,3.510000,0
2017-11-03,3.510000,3.510000,3.510000,3.510000,3.510000,0
2017-11-06,3.510000,3.510000,3.510000,3.510000,3.510000,0
2017-11-07,3.510000,3.510000,3.510000,3.510000,3.510000,0
2017-11-08,3.510000,3.510000,3.510000,3.510000,3.510000,0
2017-11-09,3.510000,3.510000,3.510000,3.510000,3.510000,0
2017-11-10,3.510000,3.510000,3.510000,3.510000,3.510000,0
2017-11-13,3.680000,3.680000,3.680000,3.680000,3.680000,70
2017-11-14,3.680000,3.680000,3.680000,3.680000,3.680000,0
2017-11-15,3.680000,3.680000,3.680000,3.680000,3.680000,0
2017-11-16,3.680000,3.680000,3.680000,3.680000,3.680000,0
2017-11-17,3.860000,3.860000,3.500000,3.500000,3.500000,1500
2017-11-20,3.500000,3.500000,3.500000,3.500000,3.500000,0
2017-11-21,3.500000,3.500000,3.500000,3.500000,3.500000,0
2017-11-22,3.500000,3.500000,3.500000,3.500000,3.500000,0
2017-11-23,3.500000,3.500000,3.500000,3.500000,3.500000,0
2017-11-24,3.670000,3.670000,3.670000,3.670000,3.670000,500
2017-11-27,3.670000,3.670000,3.670000,3.670000,3.670000,0
2017-11-28,3.670000,3.670000,3.670000,3.670000,3.670000,0
2017-11-29,3.850000,3.850000,3.850000,3.850000,3.850000,500
2017-11-30,4.040000,4.040000,4.000000,4.000000,4.000000,10796
2017-12-01,4.000000,4.000000,4.000000,4.000000,4.000000,0
2017-12-04,4.000000,4.000000,4.000000,4.000000,4.000000,0
2017-12-05,4.000000,4.000000,4.000000,4.000000,4.000000,0
2017-12-06,4.000000,4.000000,4.000000,4.000000,4.000000,0
2017-12-07,4.000000,4.000000,4.000000,4.000000,4.000000,0
2017-12-08,4.000000,4.000000,4.000000,4.000000,4.000000,0
2017-12-11,4.000000,4.000000,4.000000,4.000000,4.000000,0
2017-12-12,4.000000,4.000000,4.000000,4.000000,4.000000,0
